,zone,mean,std,min,max,var,time,spectral_index
2,2,-0.1898062445900657,0.06756233858441622,-0.320961594581604,-0.019442111253738403,0.0045646695949952965,2021-02-04 05:00:09.024,NDWI
3,3,-0.33092725844610305,0.059558217197435245,-0.5280628204345703,-0.2636415958404541,0.003547181235736872,2021-02-04 05:00:09.024,NDWI
4,4,0.11625977051563752,0.21562432217052852,-0.42006269097328186,0.3700787127017975,0.04649384831149988,2021-02-04 05:00:09.024,NDWI
5,5,0.11909154566322885,0.18084312308505615,-0.21163369715213776,0.36231884360313416,0.032704235167156766,2021-02-04 05:00:09.024,NDWI
6,6,0.034933871030807494,0.1900665732553069,-0.41228073835372925,0.2578849792480469,0.03612530226901495,2021-02-04 05:00:09.024,NDWI
7,7,-0.28995100657145184,0.1299634422949949,-0.5766567587852478,-0.052313871681690216,0.01689049633316447,2021-02-04 05:00:09.024,NDWI
8,8,0.04829310178756714,0.21517664411096218,-0.42133665084838867,0.3286318778991699,0.04630098817085567,2021-02-04 05:00:09.024,NDWI
9,9,-0.13048138116535388,0.06497886843161542,-0.2394043505191803,0.030651360750198364,0.004222253342653187,2021-02-04 05:00:09.024,NDWI
10,10,-0.06567331155141194,0.14937078742850995,-0.35596027970314026,0.15248224139213562,0.022311632137013107,2021-02-04 05:00:09.024,NDWI
11,11,0.032848661286490305,0.16505305485309066,-0.28519269824028015,0.21855486929416656,0.027242510916337358,2021-02-04 05:00:09.024,NDWI
12,12,-0.1537266799381801,0.06684178023415155,-0.29640424251556396,-0.029096456244587898,0.004467823584870613,2021-02-04 05:00:09.024,NDWI
13,13,-0.09213496389843169,0.12958695628292163,-0.37240278720855713,0.1631944626569748,0.016792779238671843,2021-02-04 05:00:09.024,NDWI
14,14,-0.18109326208791426,0.17517160823562672,-0.5158069729804993,0.126390278339386,0.03068509233185589,2021-02-04 05:00:09.024,NDWI
15,15,0.0700489640235901,0.16636724492681962,-0.26282721757888794,0.29618769884109497,0.027678060184540387,2021-02-04 05:00:09.024,NDWI
16,16,-0.08001351356506348,0.12512805800655005,-0.3075435161590576,0.10499488562345505,0.015657030900490553,2021-02-04 05:00:09.024,NDWI
17,17,0.023447034936962707,0.13557798715672442,-0.27332890033721924,0.27203068137168884,0.01838139060146893,2021-02-04 05:00:09.024,NDWI
18,18,0.16566545823041132,0.2467525980674708,-0.35137495398521423,0.4123048484325409,0.06088684465304679,2021-02-04 05:00:09.024,NDWI
19,19,-0.17841262167150324,0.09084750220015937,-0.34078213572502136,-0.0057803369127213955,0.00825326865600796,2021-02-04 05:00:09.024,NDWI
20,20,-0.06783923625946045,0.13200318855557736,-0.3253731429576874,0.13495934009552002,0.017424841788839306,2021-02-04 05:00:09.024,NDWI
21,21,-0.3788270389332491,0.0818297470016423,-0.5231427550315857,-0.26198747754096985,0.006696107494352788,2021-02-04 05:00:09.024,NDWI
22,22,-0.41458490916660856,0.07930844679029281,-0.5436853170394897,-0.321739137172699,0.0062898297322887065,2021-02-04 05:00:09.024,NDWI
0,0,0.07312076518982832,0.3648092360997144,-0.8552016019821167,0.9974424242973328,0.13308577874365715,2021-02-09 04:59:41.024,NDWI
1,1,-0.32517213087815505,0.04846879207657306,-0.4777778089046478,-0.2115813046693802,0.0023492238053620714,2021-02-09 04:59:41.024,NDWI
2,2,-0.18281511826948685,0.058645005839673164,-0.32510608434677124,-0.06388060748577118,0.0034392367099352994,2021-02-09 04:59:41.024,NDWI
3,3,-0.08230787231808617,0.11373451152837814,-0.368044912815094,0.060686010867357254,0.01293553911259878,2021-02-09 04:59:41.024,NDWI
4,4,-0.02995884724152394,0.1014074591565073,-0.262273907661438,0.08275327831506729,0.010283472772578696,2021-02-09 04:59:41.024,NDWI
